Ticker,Date,Title,Description,Source
AAPL,2026-04-13,Alphabet Stock Dips in Pre-Market as AI Spending and Antitrust Pressures Weigh on GOOG,"NEW YORK — Alphabet Inc. Class C shares closed Friday at $315.72, unchanged on the day, but slipped in pre-market trading Monday to around $313.60, down about 0.67%, as investors weighed heavy capital spending on artificial intelligence infrastructure against…",Ibtimes.com.au
AAPL,2026-04-13,Apple’s Head of AI John Giannandrea Leaves Company This Week,"Apple's former head of AI, John Giannandrea, is set to leave the company this week following his retirement announcement last year.
The post Apple’s Head of AI John Giannandrea Leaves Company This Week first appeared on iPhone in Canada.",iPhone in Canada
AAPL,2026-04-13,Former AI boss John Giannandrea officially leaving Apple this week after ‘resting and vesting’,"John Giannandrea’s time at Apple is officially coming to an end this week. Giannandrea joined Apple in 2018 after eight years at Google to head the company’s machine learning and AI strategy.



In December of last year, however, Apple announced that Giannand…",9to5Mac
AAPL,2026-04-13,Apple's AI Chief John Giannandrea Departs This Week,"John Giannandrea, Apple's former head of artificial intelligence, is set to leave the company this week as his final stock vesting date approaches.





In his ""Power On"" newsletter, Mark Gurman noted that Giannandrea's exit has been a prolonged one. Apple mo…",MacRumors
AAPL,2026-04-13,WeWork’s latest comeback bet fits inside a phone booth,Also: All the news and watercooler chat from Fortune.,Fortune
AAPL,2026-04-13,Why Apple pulled high-end Mac mini and Mac Studio models from sale - Cult of Mac,"Why Apple pulled high-end Mac mini and Mac Studio models from saleCult of Mac Several Mac mini and Mac Studio configs are now completely out of stock at Apple9to5Mac Thanks, AI: global RAM shortage means my favorite Mac ever is getting harder to findTechRadar…",Slashdot.org
AAPL,2026-04-13,"Zoonova AI Launches Alpha AI, Bringing Quant-Driven Analytics to Everyday Investors","SALT LAKE CITY, April 13, 2026 (GLOBE NEWSWIRE) -- Zoonova AI today announced the launch of Alpha AI, a new investing platform designed to make advanced market intelligence more accessible through a natural-language AI Command Center.",GlobeNewswire
AAPL,2026-04-13,The fiber powerhouse: Top fruits to boost your health naturally,"Strawberries and other fiber-rich fruits (like blueberries, raspberries and blackberries) act as powerful detoxifiers, absorbing and removing toxins from the body, even when blended. The FDA, CDC and WHO prioritize profit over health, suppressing natural reme…",Naturalnews.com
AAPL,2026-04-13,TSMC likely to book fourth straight quarter of record profit on insatiable AI demand,"On Thursday, ​TSMC is expected to report a net profit of $17.1 billion for the quarter, according to an LSEG SmartEstimate compiled from 19 analysts. The war in the Middle East threatens to disrupt the supply of production materials for semiconductors such as…",The Times of India
AAPL,2026-04-13,TSMC likely to book fourth straight quarter of record profit on insatiable AI demand,"Any profit result ‌above T$505.7 billion would mark the
company's highest-ever quarterly net income ​and its ninth
consecutive quarter of profit growth",BusinessLine
AAPL,2026-04-13,"The Initial Inventory For The $599 MacBook Neo Has Run Out, Forcing Apple To Place Rush Orders","Apple's MacBook Neo appears to be heading towards an unqualified success, judging from the size of the rush orders that Apple is now reportedly placing with its suppliers to meet oncoming demand. Apple placing rush orders with its suppliers as the demand for …",Wccftech
AAPL,2026-04-13,AI Updates for the Week of 4/12/26,"Updates Below are some of the highlights in AI, robotics, and machine learning for this past week. 4/12 4/11 4/10 4/9 4/8 4/7 4/6 Learn More You can get more details as well as citations in my AI Timeline. Learn how to take advantage of its filters here. Imag…",Annielytics.com
AAPL,2026-04-12,Numbers 15.2,"Create gorgeous spreadsheets with Numbers on iPhone, iPad and Mac. Get started with Apple-designed templates for everything from a home budget to an invoice. Add tables, charts, text, and images anywhere on the flexible canvas. Animate your data with interact…",Rlsbb.to
AAPL,2026-04-12,Show HN: Interactive Simulator of Government Spending vs. Economic Growth,Interactive simulator that challenges traditional Armey Curve theory. Compare quadratic models vs real-world data. Discover why power law models better explain government spending and economic growth.,Github.io
AAPL,2026-04-12,"Apple Watch Series 11 Smartwatch: GPS + Cellular from $399, GPS from $299 + Free S&H","Best Buy has Apple Watch Series 11 Smartwatches (Various) on sale from $299. Shipping is free for My Best Buy Members (free to join) or select free store pickup where stock permits.

Thanks to Deal",Slickdeals.net
AAPL,2026-04-12,Mac mini and Mac Studio go out of stock – is it the RAM crisis or an M5 refresh?,"In short: Several high-RAM Mac mini and Mac Studio configurations disappeared from Apple’s online store in the US on 11 April 2026, listed as “currently unavailable” with no delivery estimate and no option to order. The affected models are Mac mini configurat…",The Next Web
AAPL,2026-04-12,"The Asus ROG Kithara embraces hi-fi and makes for a powerful, precise planar-magnetic gaming headset","Asus and HiFiMan combine to make an excellent wired audiophile gaming headset in the ROG Kithara, though a few missing features and a complex cable system hold it back.",TechRadar
AAPL,2026-04-12,Magnificent 7 stocks are splitting again: Chart of the Day,The stock market’s latest rally is reviving a familiar trade — but not all of the Magnificent Seven are coming along for the ride.,Yahoo Entertainment
AAPL,2026-04-12,‘The Audacity’ Review: Billy Magnussen Boosts AMC’s Flawed Tech Industry Satire,"Sarah Goldberg, Zach Galifianakis and more elevate a show that’s rich in character study but misses the mark reflecting the world in which it’s set
The post ‘The Audacity’ Review: Billy Magnussen Boosts AMC’s Flawed Tech Industry Satire appeared first on TheW…",TheWrap
MSFT,2026-04-13,Alphabet Stock Dips in Pre-Market as AI Spending and Antitrust Pressures Weigh on GOOG,"NEW YORK — Alphabet Inc. Class C shares closed Friday at $315.72, unchanged on the day, but slipped in pre-market trading Monday to around $313.60, down about 0.67%, as investors weighed heavy capital spending on artificial intelligence infrastructure against…",Ibtimes.com.au
MSFT,2026-04-13,Former AI boss John Giannandrea officially leaving Apple this week after ‘resting and vesting’,"John Giannandrea’s time at Apple is officially coming to an end this week. Giannandrea joined Apple in 2018 after eight years at Google to head the company’s machine learning and AI strategy.



In December of last year, however, Apple announced that Giannand…",9to5Mac
MSFT,2026-04-13,Saudi Arabia's East-West Pipeline Back at Full Steam After Iran Disruptions,"Saudi Arabia announced on Sunday that its East-West pipeline has been fully restored to its peak throughput of roughly 7 million barrels daily, following...",Yahoo Entertainment
MSFT,2026-04-13,"Singapore retail investors make bets on dips and rallies amid Iran war, data shows",They are piling into tech firms and retreating from discretionary stocks as Middle East tensions simmer. Read more at straitstimes.com. Read more at straitstimes.com.,The Straits Times
MSFT,2026-04-13,"If your 2025 taxes are complicated, use this H&R Tax software for state and federal for $35","Macworld







TL;DR: Right now, it’s only $35 to get H&R Block Tax Software Deluxe for your 2025 State and Federal Return.




Tax software is a lot easier to appreciate when your return starts getting more complicated. H&R Block Tax Software Deluxe + Sta…",Macworld
MSFT,2026-04-13,Chinese AI startup StepFun to unwind offshore structure to pave way for IPO,"Shanghai-based StepFun, which develops general-purpose foundation models, has decided an onshore corporate structure would be more appropriate as it is heavily backed ​by state capital.Founded in April ​2023 by former Microsoft Vice President Jiang Daxin, Ste…",The Times of India
MSFT,2026-04-13,AI Updates for the Week of 4/12/26,"Updates Below are some of the highlights in AI, robotics, and machine learning for this past week. 4/12 4/11 4/10 4/9 4/8 4/7 4/6 Learn More You can get more details as well as citations in my AI Timeline. Learn how to take advantage of its filters here. Imag…",Annielytics.com
MSFT,2026-04-12,How Novo Nordisk (NVO) Is Expanding Its Dominance in Obesity Care,How Novo Nordisk (NVO) Is Expanding Its Dominance in Obesity Careinsidermonkey.com,Insidermonkey.com
MSFT,2026-04-12,Rosenblatt Upgrades Arista Networks (ANET) Stock to Buy from Neutral,"Arista Networks, Inc. (NYSE:ANET) is one of the Best Long Term Growth Stocks to Invest In According to Billionaires. On April 7, Rosenblatt upgraded the...",Yahoo Entertainment
MSFT,2026-04-12,Goldman Sachs Maintains Bullish Stance on Microsoft (MSFT) Stock,"Microsoft Corporation (NASDAQ:MSFT) is one of the Best Long Term Growth Stocks to Invest In According to Billionaires. On April 6, Goldman Sachs analyst...",Yahoo Entertainment
MSFT,2026-04-12,Numbers 15.2,"Create gorgeous spreadsheets with Numbers on iPhone, iPad and Mac. Get started with Apple-designed templates for everything from a home budget to an invoice. Add tables, charts, text, and images anywhere on the flexible canvas. Animate your data with interact…",Rlsbb.to
MSFT,2026-04-12,Magnificent 7 stocks are splitting again: Chart of the Day,The stock market’s latest rally is reviving a familiar trade — but not all of the Magnificent Seven are coming along for the ride.,Yahoo Entertainment
MSFT,2026-04-12,"Asymco Bulletin 008 – Apr 12, 2026","Asymco Bulletin is a digest of all the work we have published for the week ending Apr 12, 2026. Research Can a company outlive its founder? Microsoft at 51, Apple at 50 and The Auteur Theory of Business Much more was said of Jobs’ departure signaling the end …",Asymco.com
MSFT,2026-04-12,Microsoft’s Copilot Problem Isn’t What You Think,"AI expectations are outpacing reality, but the sell-off may be creating a compelling value opportunity in a dominant platform business",MarketBeat
MSFT,2026-04-12,Applied Optoelectronics Stock 2026: Buy the AI Optics Surge or Sell Before the Pullback?,"SUGAR LAND, Texas — Applied Optoelectronics Inc. (NASDAQ: AAOI) has emerged as one of the hottest — and most volatile — plays in the artificial intelligence data center boom of 2026, with shares surging more than 1,140% over the past year to trade around $150…",Ibtimes.com.au
